iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,total_deaths_per_million,people_fully_vaccinated,people_fully_vaccinated_per_hundred,population
AUS,Oceania,Australia,2020-01-31,4.0,0.0,0.0,0.0,0.2,0.0,,,26177410
AUS,Oceania,Australia,2020-02-29,22.0,0.0,0.0,0.0,0.8,0.0,,,26177410
AUS,Oceania,Australia,2020-03-31,3809.0,0.0,16.0,0.0,145.4,0.6,,,26177410
AUS,Oceania,Australia,2020-04-30,6703.0,0.0,85.0,0.0,255.8,3.2,,,26177410
AUS,Oceania,Australia,2020-05-31,7185.0,79.0,107.0,0.0,274.2,4.1,,,26177410
AUS,Oceania,Australia,2020-06-30,7641.0,0.0,108.0,0.0,291.6,4.1,,,26177410
AUS,Oceania,Australia,2020-07-31,13950.0,0.0,174.0,0.0,532.4,6.6,,,26177410
AUS,Oceania,Australia,2020-08-31,25547.0,0.0,724.0,0.0,975.0,27.6,,,26177410
AUS,Oceania,Australia,2020-09-30,27016.0,0.0,887.0,0.0,1031.1,33.8,,,26177410
AUS,Oceania,Australia,2020-10-31,27499.0,0.0,914.0,0.0,1049.5,34.9,,,26177410
AUS,Oceania,Australia,2020-11-30,27885.0,0.0,918.0,0.0,1064.3,35.0,,,26177410
AUS,Oceania,Australia,2020-12-31,28296.0,0.0,920.0,0.0,1080.0,35.1,,,26177410
AUS,Oceania,Australia,2021-01-31,28811.0,45.0,923.0,0.0,1099.6,35.2,,,26177410
AUS,Oceania,Australia,2021-02-28,28970.0,44.0,924.0,0.0,1105.7,35.3,12.0,0.0,26177410
AUS,Oceania,Australia,2021-03-31,29260.0,0.0,925.0,0.0,1116.8,35.3,72724.0,0.3,26177410
AUS,Oceania,Australia,2021-04-30,29666.0,0.0,928.0,0.0,1132.2,35.4,258529.0,1.0,26177410
AUS,Oceania,Australia,2021-05-31,30098.0,0.0,928.0,0.0,1148.7,35.4,506254.0,1.9,26177410
AUS,Oceania,Australia,2021-06-30,30835.0,0.0,928.0,0.0,1176.9,35.4,1633434.0,6.2,26177410
AUS,Oceania,Australia,2021-07-31,33795.0,0.0,940.0,0.0,1289.8,35.9,3927056.0,15.0,26177410
AUS,Oceania,Australia,2021-08-31,55661.0,0.0,1032.0,0.0,2124.4,39.4,7369320.0,28.2,26177410
AUS,Oceania,Australia,2021-09-30,104150.0,0.0,1312.0,0.0,3975.0,50.1,11386339.0,43.5,26177410
AUS,Oceania,Australia,2021-10-31,173984.0,10046.0,1866.0,112.0,6640.4,71.2,16529442.0,63.1,26177410
AUS,Oceania,Australia,2021-11-30,211425.0,0.0,2166.0,0.0,8069.4,82.7,18808812.0,71.8,26177410
AUS,Oceania,Australia,2021-12-31,366607.0,0.0,2377.0,0.0,13992.1,90.7,,,26177410
AUS,Oceania,Australia,2022-01-31,2323136.0,0.0,4469.0,0.0,88666.0,170.6,20211402.0,77.2,26177410
AUS,Oceania,Australia,2022-02-28,3016833.0,0.0,6052.0,0.0,115142.0,231.0,20483240.0,78.2,26177410
AUS,Oceania,Australia,2022-03-31,4167400.0,0.0,6631.0,0.0,159055.1,253.1,21240452.0,81.1,26177410
AUS,Oceania,Australia,2022-04-30,5518613.0,0.0,7594.0,0.0,210626.2,289.8,21527099.0,82.2,26177410
AUS,Oceania,Australia,2022-05-31,6997248.0,0.0,9204.0,0.0,267060.5,351.3,21614599.0,82.6,26177410
AUS,Oceania,Australia,2022-06-30,7777035.0,0.0,10578.0,0.0,296822.2,403.7,,,26177410
AUS,Oceania,Australia,2022-07-31,8915145.0,319779.0,12998.0,618.0,340259.9,496.1,,,26177410
AUS,Oceania,Australia,2022-08-31,9617238.0,0.0,14831.0,0.0,367056.3,566.0,,,26177410
AUS,Oceania,Australia,2022-09-30,9855289.0,0.0,15616.0,0.0,376141.9,596.0,,,26177410
AUS,Oceania,Australia,2022-10-31,10022851.0,0.0,16093.0,0.0,382537.2,614.2,,,26177410
AUS,Oceania,Australia,2022-11-30,10267904.0,0.0,16652.0,0.0,391890.0,635.6,,,26177410
AUS,Oceania,Australia,2022-12-31,10694041.0,0.0,17816.0,0.0,408154.1,680.0,,,26177410
AUS,Oceania,Australia,2023-01-31,10971501.0,0.0,18910.0,0.0,418743.8,721.7,,,26177410
AUS,Oceania,Australia,2023-02-28,11043231.0,0.0,20346.0,0.0,421481.5,776.5,,,26177410
AUS,Oceania,Australia,2023-03-31,11125968.0,0.0,20683.0,0.0,424639.3,789.4,,,26177410
